CourseDefinitionID,AbbrTitle,CourseCode,CourseFactor,EqCreditValue,ExtractToWeb,MaxEnrolments,MinEnrolments,Stage,StartDate,EndDate,CourseTitle,CostCategoryID,DeliveryModeID,EducationInstituteID,NZSCEDCategoryID,ProgrammeIDOwning,SourceOfFundingID,CourseDefinitionStatusID,CourseDefinitionSubstatusID,CourseDesc,OrgUnitIDOwning,IsThesisCourse
1,NULL,JOUR507,0.2,24,0,21,0,5,2005-01-01 00:00:00,2008-12-31 00:00:00,Specialist Writing,20,3,1,132,81,1,3,1,"Specialist areas of practical journalism, other than news, in both print and broadcasting. These include feature articles/documentaries, sport, politics, business, science, editorials and reviewing. The broadcast component includes an introduction to television journalism. Students are also required to learn the skills of subbing; text-editing, headings, captions, layout and design.",10037,0
2,NULL,JOUR790,1,120,1,0,0,7,2005-01-01 00:00:00,NULL,Journalism PhD,3,3,1,132,127,1,2,1,NULL,10402,1
3,NULL,JOUR791,0.65,78,1,0,0,7,2005-01-01 00:00:00,2005-12-31 00:00:00,Journalism PhD part-time,3,3,1,132,127,1,3,1,NULL,10037,1
4,NULL,KREA101,0.15,18,1,0,0,1,2005-01-01 00:00:00,2010-12-31 00:00:00,Elementary Korean Language 1,10,4,1,116,1,1,3,1,An elementary level course in modern standard Korean which assumes no prior knowledge of the language.,10289,0
5,NULL,KREA102,0.15,18,1,0,0,1,2005-01-01 00:00:00,2006-12-31 00:00:00,Elementary Korean Language 2,10,4,1,116,1,1,3,2,An elementary level course in modern standard Korean which represents a continuation of KREA 101.,10289,0
6,NULL,KREA103,0.15,18,1,0,0,1,2005-01-01 00:00:00,2010-12-31 00:00:00,Introduction to Korean Culture,10,4,1,102,1,1,3,1,"An introduction in English to general aspects of Korea such as its society, institutions and history.",10289,0
7,NULL,LAWS101,0.3,36,1,0,0,1,2005-01-01 00:00:00,2010-12-31 00:00:00,The Legal System,5,4,1,113,85,1,3,1,"An historical introduction to, and a descriptive outline of, the legal systems in England and New Zealand, including the structure of government, civil and criminal proceedings, the sources of law, and the main divisions of substantive law. Legal reasoning and the judicial process including an introduction to statutory interpretation. An elementary treatment of legal concepts.",10073,0
8,NULL,LAWS102,0.15,18,1,0,0,1,2005-01-01 00:00:00,2010-12-31 00:00:00,"Law, Justice and Morality",5,4,1,113,85,1,3,1,An introduction to: the concept of Law; law and morality; law and justice; comparative legal systems; Maori customary law; the administration of justice; law and social control and the sociology of law.,10073,0
9,NULL,LAWS202,0.25,30,1,265,0,2,2005-01-01 00:00:00,NULL,Criminal Law,5,4,1,108,85,1,2,1,The general principles of criminal liability. The law relating to indictable and other selected offences chargeable under New Zealand law. Procedure on indictment and summary procedure (excluding evidence).,10073,0
10,NULL,LAWS203,0.25,30,1,200,0,2,2005-01-01 00:00:00,2010-12-31 00:00:00,The Law of Contract,5,4,1,106,85,1,3,1,"The general principles of governing the formation of contracts, vitiating elements, breach of contract and remedies.",10073,0
11,NULL,LAWS204,0.25,30,1,260,0,2,2005-01-01 00:00:00,NULL,The Law of Torts,5,4,1,113,85,1,2,1,General principles of civil liability. The law as to the various kinds of torts. The law relating to compensation for personal injury by accident in New Zealand.,10073,0
